doi,title,abstract
10.1101/2023.01.13.23284542,How effective was maritime quarantine in Australia during the influenza pandemic of 1918-19?,"The influenza pandemic of 1918-19 was the most devastating pandemic of the 20th century. It killed an estimated 50-100 million people worldwide. In late 1918, when the severity of the disease was apparent, the Australian Quarantine Service was established. Vessels returning from overseas and inter-state were intercepted, and people were examined for signs of illness and quarantined. Some of these vessels carried the infection throughout their voyage and cases were prevalent by the time the ship arrived at a Quarantine Station. We study four outbreaks that took place on board the Medic, Boonah, Devon, and Manuka in late 1918. These ships had returned from overseas and some of them were carrying troops that served in the First World War. By analysing these outbreaks under a stochastic Bayesian hierarchical modeling framework, we estimate the transmission rates among crew and passengers aboard these ships. Furthermore, we ask whether the removal of infectious, convalescent, and healthy individuals after arriving at a Quarantine Station in Australia was an effective public health response.

Author SummaryThe influenza pandemic of 1918-19 was one of the deadliest pandemics in history. In Australia, when it was apparent that the virus was severe, a quarantine service was established to intercept and quarantine ships that returned from overseas and travelled interstate. In this study, we look at the records of outbreaks on board the Medic, Boonah, Devon, and Manuka. Some of the ships carried surviving troops from the First World War, and infections were prevalent when they arrived at a quarantine station. Infectious, convalescent, and healthy individuals on board were moved to the quarantine station for treatment or isolation. We model the outbreaks on the four ships using stochastic epidemic models and estimate the model parameters within a hierarchical framework. Furthermore, we investigate whether the removal of individuals with various disease states was an effective intervention measure from a public health perspective."
10.1101/2023.01.16.23284622,"Acute Kidney Injury, the Present on Admission indicator (POA) and sex disparities: Observational study of inpatient real world data in a Swiss tertiary health care system.","BackgroundRegarding kidney disease, sex differences in epidemiology and clinical relevance have been reported. Related to absolute and relative changes of baseline creatinine, different criteria for staging may induce under-or over-diagnosis related to sex. At the largest Swiss provider of inpatient acute health care, a clinic decision support algorithm ensures exact staging of kidney disease (2012 KDIGO Clinical Practice Guideline). Coding of the indicator ""Present On Admission"" was introduced at this institution in 2018 to flag post-admission conditions.

ObjectiveWe hypothesized sex differences in health care associated acute kidney injury. Defined indicators and the distribution of stages in acute kidney injury were analysed using the POA flag. Sex differences were reported.

MethodsRetrospective observational study. Routinely collected health data, Insel Group, Berne, Switzerland, 2019 and 2020 (121757 cases) on the patient history and intensive care treatment duration, comorbidity levels, coded diagnoses, age and sex. Software and statistic: program R, version 4.1.1, standard deviation; median, interquartile range; prop.test; standardized mean difference.

ResultsThe reporting of post-admission diagnoses was associated with more interhospital transfers, intensive care stays, scores of severity and treatment intensity, mechanical ventilation, age, number of diagnoses, complexity level of the related cases and mortality. A weaker association could be observed for the female population. However, mortality was higher (stage III acute kidney injury 41.6%).

ConclusionUsing the POA-flag the results reflect the clinical situation of complications and comorbidities evolving unexpectedly. As our results show sex differences, i.e. a lower morbidity of female patients for each stage, but a higher mortality, a deeper evaluation of the implied sex differences in staging of kidney disease should follow.

The general results confirm the necessity of a diagnosis-onset reporting in health statistic."
10.1101/2023.01.16.23284633,"Differences Between Reported COVID-19 Deaths and Estimated Excess Deaths in Counties Across the United States, March 2020 to February 2022","Accurate and timely tracking of COVID-19 deaths is essential to a well-functioning public health surveillance system. The extent to which official COVID-19 death tallies have captured the true toll of the pandemic in the United States is unknown. In the current study, we develop a Bayesian hierarchical model to estimate monthly excess mortality in each county over the first two years of the pandemic and compare these estimates to the number of deaths officially attributed to Covid-19 on death certificates. Overall, we estimated that 268,176 excess deaths were not reported as Covid-19 deaths during the first two years of the Covid-19 pandemic, which represented 23.7% of all excess deaths that occurred. Differences between excess deaths and reported COVID-19 deaths were substantial in both the first and second year of the pandemic. Excess deaths were less likely to be reported as COVID-19 deaths in the Mountain division, in the South, and in nonmetro counties. The number of excess deaths exceeded COVID-19 deaths in all Census divisions except for the New England and Middle Atlantic divisions where there were more COVID-19 deaths than excess deaths in large metro areas and medium or small metro areas. Increases in excess deaths not assigned to COVID-19 followed similar patterns over time to increases in reported COVID-19 deaths and typically preceded or occurred concurrently with increases in reported COVID-19 deaths. Estimates from this study can be used to inform targeting of resources to areas in which the true toll of the COVID-19 pandemic has been underestimated."
10.1101/2023.01.16.23284583,"Tricycle surveillance in Antananarivo, Madagascar: circulation of both extended-spectrum beta-lactamase producing Escherichia coli strains and plasmids among humans, chickens and the environment","BackgroundAntimicrobial resistance is a major public health threat, affecting not only humans but also animals and the environment. Although the ""One Health"" dimension of resistance is well recognized, data are lacking on the circulation of resistance, particularly in low-income countries. The World Health Organization has proposed a protocol called Tricycle, focusing on extended-spectrum beta-lactamase (ESBL)-Escherichia coli surveillance in the three sectors. We implemented Tricycle in Madagascar to assess ESBL-E. coli prevalence and describe intra- and inter-sector circulation of ESBL-E. coli and plasmids.

Methods289 pregnant women, 246 farm chickens and 28 surface waters were sampled in Antananarivo (the capital city) area and tested for ESBL-E. coli. Isolates were sequenced by short-(Illumina) and long-(Nanopore) read methods.

FindingsESBL-E. coli prevalence was 29{middle dot}8%, 56{middle dot}9% and 100% in pregnant women, chickens, and the environment, respectively. The wet season was associated with higher rates of carriage in humans (OR=3{middle dot}1, 95%CI 1{middle dot}8-5{middle dot}3) and animals (OR=2{middle dot}8 95%CI 1{middle dot}7-4{middle dot}8). Sequencing of 277 non-duplicated isolates (82, 118 and 77 from each sector, respectively) showed high genetic diversity (90 STs identified) with differences between sectors. Single nucleotide polymorphism (SNP) analysis revealed 169/277 (61%) isolates grouped into 44 clusters ([&ge;]2 isolates) of closely related isolates (<40 SNPs), of which 24 contained isolates from two sectors and five contained isolates from all three sectors. ESBL genes were all blaCTX-M (77.6% blaCTX-M-15), chromosomally integrated in 57{middle dot}4% (159/277) of isolates, and plasmidic in 40{middle dot}8% (113/277). The 114 ESBL-carrying plasmids were mainly IncF (55{middle dot}2%, n=63) and IncY (36{middle dot}8%, n=42). The F31/36:A4:B1 (n=13) and F-:A-:B53 (n=8) subtypes, and all IncY plasmids, highly conserved, were observed in isolates of differing genetic backgrounds from all sectors.

InterpretationDespite varying strain population structures in the three sectors, both ESBL-E. coli strains and plasmids are circulating among humans, chickens and the environment in the capital of Madagascar.

FundingFondation Merieux, INSERM, Universite Paris Cite"
10.1101/2023.01.16.23284631,"Higher ratio of plasma omega-6/omega-3 fatty acids is associated with greater risk of all-cause, cancer, and cardiovascular mortality: a population-based cohort study in UK Biobank","BackgroundCirculating omega-3 and omega-6 polyunsaturated fatty acids (PUFAs) have been associated with various chronic diseases and mortality, but results are conflicting. Few studies examined the role of omega-6/omega-3 ratio in mortality.

MethodsWe investigated plasma omega-3 and omega-6 PUFAs and their ratio in relation to all-cause and cause-specific mortality in a large prospective cohort, the UK Biobank. Of 85,425 participants who had complete information on circulating PUFAs, 6,461 died during follow-up, including 2,794 from cancer and 1,668 from cardiovascular disease (CVD). Associations were estimated by multivariable Cox proportional hazards regression with adjustment for relevant risk factors.

ResultsRisk for all three mortality outcomes increased as the ratio of omega-6/omega-3 PUFAs increased (all Ptrend < 0.05). Comparing the highest to the lowest quintiles, individuals had 26% (95% CI, 15-38%) higher total mortality, 14% (95% CI, 0-31%) higher cancer mortality, and 31% (95% CI, 10-55%) higher CVD mortality. Moreover, omega-3 and omega-6 PUFAs in plasma were all inversely associated with all-cause, cancer, and CVD mortality, with omega-3 showing stronger effects.

ConclusionsUsing a population-based cohort in UK Biobank, our study revealed a strong association between the ratio of circulating omega-6/omega-3 PUFAs and the risk of all-cause, cancer, and CVD mortality."
10.1101/2023.01.18.23284671,"Investigating associations of omega-3 fatty acids, lung function decline, and airway obstruction","RationaleInflammation contributes to lung function decline and the development of chronic obstructive pulmonary disease. Omega-3 fatty acids have anti-inflammatory properties and may benefit lung health.

ObjectivesInvestigate associations of omega-3 fatty acids with lung function decline and incident airway obstruction in adults of diverse races/ethnicities from general population cohorts.

MethodsComplementary study designs: (1) longitudinal study of plasma phospholipid omega-3 fatty acids and repeated FEV1 and FVC measures in the National Heart, Lung, and Blood Institute Pooled Cohorts Study, and (2) two-sample Mendelian Randomization (MR) study of genetically predicted omega-3 fatty acids and lung function parameters.

Measurements and Main ResultsThe longitudinal study found that higher omega-3 fatty acid concentrations were associated with attenuated lung function decline in 15,063 participants, with the largest effect sizes for docosahexaenoic acid (DHA). One standard deviation higher DHA was associated with an attenuation of 1.8 mL/year for FEV1 (95% confidence interval [CI] 1.3-2.2) and 2.4 mL/year for FVC (95% CI 1.9-3.0). One standard deviation higher DHA was also associated with a 9% lower incidence of spirometry-defined airway obstruction (95% CI 0.86-0.97). DHA associations persisted across sexes, smoking histories, and Black, white and Hispanic participants, with the largest magnitude associations in former smokers and Hispanics. The MR study showed positive associations of genetically predicted omega-3 fatty acids with FEV1 and FVC, with statistically significant findings across multiple MR methods.

ConclusionsThe longitudinal and MR studies provide evidence supporting beneficial effects of higher circulating omega-3 fatty acids, especially DHA, on lung health."
10.1101/2023.01.18.23284681,"Suicide deaths during the COVID-19 pandemic in the United States, by region, March 1, 2020-June 30, 2022","IntroductionThere were concerns that suicide deaths might increase due to Covid-19 pandemic-related stressors. Previous research demonstrated that suicide deaths actually decreased in 2020 in the US. An update covering 2021-2022 with regional data is warranted.

MethodsObservational cohort, US and regional data. Expected monthly deaths were modeled using pre-pandemic US and regional data (2015-2020). Mortality data was accessed from CDC public reporting.

ResultsWe find that suicide deaths in the United States were below expected levels throughout the pandemic period (March 1, 2020-June 30,2022) with >4,100 fewer suicide deaths than would have been expected to occur during the study period. Stratifying suicide mortality by US Census Bureau region yielded statistically significant decreases from expected suicide deaths in all regions except the Midwest, (which recorded no significant change in suicide deaths during the overall pandemic period).

ConclusionSuicide mortality is down in the US since the pandemic began, through June 30, 2022. Possible explanations include an early ""coming together"" effect; Later, increased access to mental health resources and a greater focus on mental health in the media may have reduced stigma and barriers in seeking necessary psychiatric care."
10.1101/2023.01.17.22281858,Determining latent features and forecasting of COVID-19 hospitalisations in Malaysia using a national patient assessment data platform: a study of machine learning modelling against expert system,"COVID-19 had a severe impact on Malaysia, as cases increased dramatically as the pandemic spread. In order to combat the pandemic, the Ministry of Health has established a number of standard operating procedures (SOP) and started operating COVID-19 Assessment Centers (CAC). This study compares the expert system created using the current patient evaluation standards to the capabilities of machine learning approaches in capturing the potential of being admitted directly or during home quarantine, based on the different clinical symptoms and age group. Boruta is a feature selection method that is employed to rank and extract significant characteristics.

Treatment for imbalance has been carried out by under-sampling with K-Means and over-sampling with SMOTE. It appeared that the machine learning method using Random Forest would perform better than the expert systems. There are five performance metrics used in this study, i.e. accuracy, precision, recall, F1-score, and specificity. This study focused to maximize the true positive rate while minimize the false negative rates, it is to make sure that the patient who really need to be hospitalized will not be missed out. Therefore, recall becomes the main evaluation metrics when comparing the machine learning model and the expert system. The results shown that the recall score for machine learning approach is vastly higher then of expert systems. For age group 18-59, machine learning has 32.75% recall more than the expert system to predict if a patient requires direct admission, while for age group more than 60, the recall of machine learning is 18.11% more than expert system. In addition, to predict if a patient require admission during their home quarantine due to their health deterioration, machine learning recorded 76.72% recall more than the expert system for patient aged 18 to 59, and 70.59% difference for patient more than 60 years old. This supports the potential application of machine learning for clinical decision making for COVID-19 patients."
10.1101/2023.01.09.23284367,Validation of a MALDI-TOF MS method for SARS-CoV-2 detection on the Bruker Biotyper and nasopharyngeal swabs. A Brazil - UK collaborative study.,"We had developed a MALDI-TOF mass spectrometry method for detection of SARS-CoV-2 virus in saliva-gargle samples using Shimadzu MALDI-TOF mass spectrometers in the UK. This was validated in the USA to CLIA-LDT standards for asymptomatic infection detection remotely via sharing protocols, shipping key reagents, video conference and data exchange. In Brazil, more so than in the UK and USA, there is a need to develop non-PCR dependent rapid affordable SARS-CoV-2 infection screening tests, which also identify variant SARS-CoV-2 and other virus infections. Travel restrictions necessitated remote collaboration with validation on the available Clinical MALDI-TOF - the Bruker Biotyper (microflex(R) LT/SH) - and on nasopharyngeal swab samples, as salivary gargle samples were not available. The Bruker Biotyper was shown to be almost log10^3 more sensitive at detection of high molecular weight spike proteins. A protocol for saline swab soaks out was developed and duplicate swab samples collected in Brazil were analysed by MALDI-TOF MS. The swab collected sample spectra varied from that of gargle-saliva in three additional mass peaks in the mass region expected for IgG heavy chains and human serum albumin. A subset of clinical samples with additional high mass, probably Spike-related proteins, were also found. Spectral data comparisons and analysis, subjected to machine learning algorithms in order to resolve RT-qPCR positive from RT-qPCR negative swab samples, showed a 78% agreement with RT-qPCR scoring for SARS-CoV-2 infection."
10.1101/2023.01.10.23284397,"Prior SARS-CoV-2 Infection and COVID-19 Vaccine Effectiveness against Outpatient Illness during Widespread Circulation of SARS-CoV-2 Omicron Variant, US Flu VE Network","BackgroundWe estimated combined protection conferred by prior SARS-CoV-2 infection and COVID-19 vaccination against COVID-19-associated acute respiratory illness (ARI).

MethodsDuring SARS-CoV-2 Delta (B.1.617.2) and Omicron (B.1.1.529) variant circulation between October 2021 and April 2022, prospectively enrolled adult patients with outpatient ARI had respiratory and filter paper blood specimens collected for SARS-CoV-2 molecular testing and serology. Dried blood spots were tested for immunoglobulin-G antibodies against SARS-CoV-2 nucleocapsid (NP) and spike protein receptor binding domain antigen using a validated multiplex bead assay. Evidence of prior SARS-CoV-2 infection also included documented or self-reported laboratory-confirmed COVID-19. We used documented COVID-19 vaccination status to estimate vaccine effectiveness (VE) by multivariable logistic regression by prior infection status.

Results455 (29%) of 1577 participants tested positive for SARS-CoV-2 infection at enrollment; 209 (46%) case-patients and 637 (57%) test-negative patients were NP seropositive, had documented previous laboratory-confirmed COVID-19, or self-reported prior infection. Among previously uninfected patients, three-dose VE was 97% (95% confidence interval [CI], 60%- 99%) against Delta, but not statistically significant against Omicron. Among previously infected patients, three-dose VE was 57% (CI, 20%-76%) against Omicron; VE against Delta could not be estimated.

ConclusionsThree mRNA COVID-19 vaccine doses provided additional protection against SARS-CoV-2 Omicron variant-associated illness among previously infected participants."
10.1101/2023.01.09.23284345,MVMRmode: Introducing an R package for plurality valid estimators for multivariable Mendelian randomisation,"BackgroundMendelian randomisation (MR) is the use of genetic variants as instrumental variables. Mode-based estimators (MBE) are one of the most popular types of estimators used in univariable-MR studies. However, because there are no plurality valid regression estimators, there are no existent modal estimators for multivariable-MR.

MethodsWe use the residual method for multivariable-MR to introduce two multivariable modal estimators: multivariable-MBE, which uses IVW to create residuals fed into a traditional plurality valid estimator, and multivariable-CM which instead has the residuals fed into the contamination mixture method. We then use Monte-Carlo simulations to explore the performance of these estimators when compared to existing ones and re-analyse the data used by Grant and Burgess (2021) looking at the causal effect of intelligence, education, and household income on Alzheimers disease as an applied example.

ResultsIn our simulation, we found that multivariable-MBE was generally too variable to be much use. Multivariable-CM produced more precise estimates on the other hand. Multivariable-CM performed better than MR-Egger in almost all settings, and Weighted Median under balanced pleiotropy. However, it underperformed Weighted Median when there was a moderate amount of directional pleiotropy. Our re-analysis supported the conclusion of Grant and Burgess (2021), that intelligence had a protective effect on Alzheimers disease, while education, and household income do not have a causal effect.

ConclusionsHere we introduced two, non-regression-based, plurality valid estimators for multivariable MR. Of these, ""multivariable-CM"" which uses IVW to create residuals fed into a contamination-mixture model, performed the best. This method uses a plurality of variants valid assumption, and appears to provided precise and unbiased estimates in the presence of balanced pleiotropy and small amounts of directional pleiotropy. We developed the MVMRmode R package (available from https://github.com/bar-woolf/MVMRmode/wiki) to facilitate the use of this estimator. We hope this will further enable the future triangulation of univariable MR studies which have used plurality valid estimators with multivariable MR designs."
10.1101/2023.01.09.23284368,"Improving cardiovascular risk prediction beyond pooled cohort equations: a prospective cohort of 304,356 participants","BackgroundPooled Cohort Equations (PCE) are used to predict cardiovascular disease (CVD) risk. Inclusion of other variables may improve risk prediction.

ObjectiveIdentify variables improving CVD risk prediction beyond recalibrated PCE.

DesignProspective cohort study; sex-stratified Cox survival models with LASSO stability selection to predict CVD in non-overlapping subsets: variable selection (40%), model training (30%) and testing (30%).

SettingUK population.

ParticipantsUK Biobank: 121,724 and 182,632 healthy men and women, respectively, aged 38-73 years at baseline.

MeasurementsPersonal/family medical history; lifestyle factors; genetic, biochemical, hematological, and metabolomic blood markers. Outcomes were incident hospitalization or mortality from CVD.

ResultsThere were 11,899 (men) and 9,110 (women) incident CVD cases with median 12.1 years follow-up. Variables selected for both men and women were: age, albumin, antihypertensive medication, apolipoprotein B, atrial fibrillation, C-reactive protein, current smoker, cystatin C, family history of coronary artery disease, glycated hemoglobin, polygenic risk score (PRS) for CVD and systolic blood pressure. Also selected: apolipoprotein A1, lipoprotein(a), white blood cell count, deprivation index (men); triglycerides (women). C-statistics for recalibrated PCE were 0.67 [0.66-0.68] and 0.69 [0.68-0.70] in men and women, respectively, improving to 0.71 [0.70-0.72] and 0.72 [0.71-0.73] with LASSO stably selected variables. Categorical net reclassification improvement (7.5% risk threshold) versus PCE was 0.054 [0.038-0.070] (men) and 0.081 [0.063-0.099] (women). Addition of targeted metabolomic data to LASSO stability selection did not improve predictive accuracy.

LimitationsAnalyses were done in a single population study and require external replication.

ConclusionAdditional personal/family medical history, blood-based markers and genetic information improve CVD risk prediction beyond PCE.

Funding sourceNational Institute for Health Research Academic Clinical Fellowship (JE); Medical Research Council studentship (BB); European Union H2020 (MC-H)."
10.1101/2023.01.09.23284348,Interleukin-1 receptor antagonist gene (IL1RN) variants modulate the cytokine release syndrome and mortality of SARS-CoV-2,"ObjectiveTo explore the regulation of the inflammatory response in acute SARS-CoV-2 infection, we examined effects of single nucleotide variants (SNVs) of IL1RN, the gene encoding the anti-inflammatory IL-1 receptor antagonist (IL-1Ra), on the cytokine release syndrome and mortality.

MethodsWe studied 2589 patients hospitalized with SARS-CoV-2 between March 2020 and March 2021 at NYU Langones Tisch Hospital. CTA and TTG haplotypes formed from three SNVs (rs419598, rs315952, rs9005) and the individual SNVs of the IL1RN gene were assessed for association with laboratory markers of the cytokine release syndrome (CRS) and mortality.

ResultsMortality in the population was 15.3%, and was lower in women than men (13.1% vs.17.3%, p<0.0003). Carriers of the CTA-1/2 IL1RN haplotypes exhibited decreased inflammatory markers and increased plasma IL-1Ra relative to TTG carriers. Decreased mortality among CTA-1/2 carriers was observed in male patients between the ages of 55-74 [9.2% vs. 17.9%, p=0.001]. Evaluation of individual SNVs of the IL1RN gene (rs419598, rs315952, rs9005) indicated that carriers of the IL1RN rs419598 CC SNV exhibited lower inflammatory biomarker levels, and was associated with reduced mortality compared to the CT/TT genotype in men (OR 0.49 (0.23 - 1.00); 0.052), with the most pronounced effect observed between the ages of 55-74 [5.5% vs. 18.4%, p<0.001].

ConclusionThe IL1RN haplotype CTA, and sequence variant of rs419598 are associated with attenuation of the cytokine release syndrome and decreased mortality in males with acute SARS-CoV2 infection. The data suggest that IL1RN modulates the COVID-19 cytokine release syndrome via endogenous "" anti-inflammatory"" mechanisms.

Significance statementWe provide evidence that variants of IL1RN modulate the severity of SARS-CoV-2 infection. The IL1RN CTA haplotype and rs419598 CC single nucleotide variant are associated with decreased plasma levels of inflammatory markers, interleukin-1 beta (IL-1{beta}), interleukin-6 (IL-6), interleukin-2 (IL-2), C-reactive protein (CRP), D-dimer, ferritin, and procalcitonin, in association with higher levels of IL-1Ra and IL-10, anti-inflammatory proteins. Both haplotype CTA and rs419598 CC genotype are associated with a significant reduction in the mortality of men. These data provide genetic evidence that inflammasome activation and the IL-1 pathway plays an important role in the mortality and morbidity associated with severe SARS-CoV-2 infection, and that genetic regulation of inflammatory pathways by variants of IL1RN merits further evaluation in severe SARS-CoV-2 infection."
10.1101/2023.01.11.23284425,How often is the core outcome set for low back pain used in clinical trials? A protocol for a meta-epidemiological study,"BackgroundNon-specific Low back pain (NSLBP) is the worldwide leading cause of disability, accounting for large costs for healthcare systems and work productivity. Many treatment options are available for patients with NSLBP. Authors of systematic reviews on LBP report that outcomes are often measured and reported inconsistently. This inconsistency limits the comparison of findings among trials, and it can be due to selective outcome reporting bias (e.g. reporting only outcomes with positive results in a publication), which strongly affects the conclusions of systematic reviews. Recommendations for standardised reporting of outcome measurement instruments in clinical studies were initially publicated in 1998 and updated through an international consensus Delphi study by Chiarotto and colleagues in 2015. This updated Core Outcome Set (COS) for NSLBP included the following core outcome domains: ""physical functioning"", ""pain intensity"", ""health-related quality of life"", and ""number of deaths"". With the exception of ""number of deaths"", the other three core domains were already included in the core set publicated in 1998 by Deyo et al. In 2018, another international consensus of Chiarotto et al. formulated recommendations on which core outcome measurement instruments (Core Outcome Measurement Set - COMS) should be used in NSLBP trials. A consensus was reached on Numeric Rating Scale (NRS) for ""pain intensity"", Oswestry Disability Index (ODI) or Roland-Morris Disability Questionnaire (RMDQ-24) for ""physical functioning"", Short Form Health Survey 12 (SF12) or 10-item PROMIS Global Health (PROMIS-GH-10) for ""HRQOL"". Therefore, the recommended COS has been in the public domain for more than 20 years. However, it is still unknown whether it has changed the selection of outcomes used in NSLBP trials during this period.

Objectives(1)To assess the uptake of the COS for NSLBP in clinical trials; (2)To assess the uptake of the Core Outcome Measurement Set for NSLBP in clinical trials; (3)To analyse whether specific study characteristics (year of registration, sample size, country of origin, duration of follow-up, phase of the trial, intervention, and source of funding) are associated with the COS uptake

MethodsWe will adopt Kirkham et al.s recommendations on the assessment of COS uptake. We will search the World Health Organization (WHO) International Clinical Trials Registry Platform (ICTRP) and Clinicaltrials.gov registry to identify potentially eligible trial protocols. Two reviewers (TI and SG) will select potentially eligible entries and evaluate whether they meet the eligibility criteria. A consensus meeting will be held to determine agreement on the selection; in case of disagreement, a third reviewer (SS) will decide on inclusion. We will calculate the percentage of clinical trials that planned to measure data on the NSLBP full COS. We will also calculate the proportion of trials that reported the percentage of trials measuring the full COS per year. We will calculate the percentage of the NSLBP core outcome measurement instruments used per each domain described in the COS. Lastly, we will perform a multivariable logistic regression analysis to assess the relationship between the full COS uptake (yes/no) as the dependent variable and the following independent variables: year of registration, sample size, country of origin, duration of follow-up interval, phase of the trial (III or IV), intervention (pharmacological trial vs non-pharmacological trial), and source of funding (commercial vs non-commercial vs no funding).

Ethics and disseminationA manuscript will be prepared and submitted for publication in an appropriate peer-reviewed journal upon study completion. We believe that the results of this investigation will be relevant to researchers paying more attention to the synthesis of the evidence to translate clinical implications to key stakeholders (healthcare providers and patients)."
10.1101/2023.01.03.22277971,Impact of COVID-19 pandemic on cancer screening in Denmark: A register-based study,"BackgroundDenmark was one of the few countries where it was politically decided to continue cancer screening during the COVID-19 pandemic. We assessed the actual population uptake of mammography and cervical screening during this period.

MethodsThe first COVID-19 lockdown in Denmark was announced on 11 March 2020. To investigate possible changes in cancer screening activity due to the COVID-19 pandemic, we analysed data from the beginning of 2017 until the end of 2021, searching for trends and outliers in the activity throughout this period, particularly after the first lockdown. Data on mammography screening and cervical screening were retrieved from governmental pandemic-specific monitoring of health care activities.

ResultsA brief drop was seen in screening activity right after the first COVID-19 lockdown, but the activity quickly returned to its previous level. A short-term deficit of 43% [-49 to -37] was found for mammography screening. A short-term deficit of 62% [-65 to -58] was found for cervical screening. Furthermore, a slight, statistically significant downward trend in cervical screening from 2018 to 2021 was probably unrelated to the pandemic. Other changes, e.g. a marked drop in mammography screening towards the end of 2021, also seem unrelated to the pandemic.

ConclusionsThe policy in Denmark of continuing cancer screening during the pandemic was implemented very effectively."
10.1101/2022.07.28.22277961,Arterial hypertension and its covariates among nomadic Raute hunter-gatherers of Western Nepal: a mixed-method study,"ObjectivesTo determine the prevalence of, and understand the factors associated with, hypertension among the nomadic Raute hunter-gatherers of Western Nepal.

DesignA mixed-method study.

SettingThe study was carried out at Raute temporary campsites in the Surkhet District of Karnali Province between May to September 2021.

ParticipantsThe questionnaire-based survey included all males and non-pregnant females of the nomadic Raute group aged 15 years and above. In-depth interviews were conducted among purposively selected 15 Raute participants and four non-Raute key informants to help explain and enrich the quantitative findings.

Outcome measuresThe prevalence of hypertension (defined as brachial artery blood pressure of systolic [&ge;]140 mm Hg and/or diastolic [&ge;]90 mm Hg) and its socio-demographic, anthropometric, and behavioral covariates.

ResultsOf the 85 eligible participants, 81 [median age 35 years (interquartile range: 26-51), 46.9% female] were included in the final analysis. Hypertension was found in 10.5% of females, 48.8% of men, and 30.9% of the total population. Current alcohol and tobacco use were high (91.4% and 70.4%, respectively), with concerning high rates among youths. Males, older people, current drinkers, and current tobacco users were more likely to have hypertension. Our qualitative analysis suggests that the traditional forest-based Raute economy is gradually transitioning into a cash-based one that heavily relies on government incentives. Consumption of commercial foods, drinks, and tobacco products is increasing as their market involvement grows.

ConclusionThis study found a high burden of hypertension, alcohol, and tobacco use among nomadic Raute hunter-gatherers facing socioeconomic and dietary transitions. Further research is needed to assess the long-term impact of these changes on their health. This study is expected to help appraise concerned policymakers of an emerging health concern and formulate context-specific and culturally sensitive interventions to limit hypertension-related morbidities and mortalities in this endangered population.

Strengths and limitations of this studyO_LIThis is the first study to report the prevalence of hypertension and its covariates among the nomadic Raute hunter-gatherers of Nepal.
C_LIO_LIThe major strengths of this study are the use of a mixed-method design to have both quantitative and qualitative perspectives, near total population enrollment, and robust methodology.
C_LIO_LIThe cross-sectional design of this study limits its ability to establish causal relationships between the variables.
C_LIO_LISeveral important factors, such as dietary fruits and vegetable consumption, salt intake, and level of physical activities, as well as the presence of diabetes mellitus, dyslipidemia, or central obesity, were not assessed, preventing this study from determining the communitys actual cardiovascular disease risk.
C_LIO_LIInterviews taken in language non-native (Nepali) to the Raute may be subject to language bias.
C_LI"
10.1101/2022.11.14.22281814,Monitoring Body Composition Change for Intervention Studies with Advancing 3D Optical Imaging Technology in Comparison to Dual-Energy X-Ray Absorptiometry,"BackgroundRecent three-dimensional optical (3DO) imaging advancements have provided more accessible, affordable, and self-operating opportunities for assessing body composition. 3DO is accurate and precise with respect to clinical measures made by dual-energy X-ray absorptiometry (DXA). However, the sensitivity for monitoring body composition change over time with 3DO body shape is unknown.

ObjectiveTo evaluate 3DOs ability to monitor body composition changes across multiple intervention studies.

MethodsA retrospective analysis was performed using intervention studies on healthy adults that were complimentary to the cross-sectional study, Shape Up! Adults. Each participant received a DXA (Hologic Discovery/A system) and 3DO (Fit3D ProScanner) scan at baseline and follow-up. 3DO meshes were digitally registered and reposed using Meshcapade to standardize the vertices and pose. Using an established statistical shape model, each 3DO mesh was transformed into principal components (PCs), which were used to predict whole-body and regional body composition values using published equations. Body composition changes (follow-up minus baseline) were compared to DXA with linear regression.

ResultsThe analysis included 133 participants (45 females) in six studies. The mean (SD) length of follow-up was 13 (5) weeks, range 3-23 weeks. Agreement between 3DO and DXA (R2) for changes in total fat mass (FM), total fat-free mass (FFM), and appendicular lean mass, respectively, were 0.86, 0.73, and 0.70 with RMSEs of 1.98 kg, 1.58 kg, and 0.37 kg in females, and 0.75, 0.75, and 0.52 with RMSEs of 2.31 kg, 1.77 kg, and 0.52 kg in males. Further adjustment with demographic descriptors improved the 3DO change agreement to changes observed with DXA.

ConclusionsAs compared to DXA, 3DO was highly sensitive in detecting body shape changes over time. The 3DO method was sensitive enough to detect even small changes in body composition during intervention studies. The safety and accessibility of 3DO allows users to self-monitor on a frequent basis throughout interventions."
